-0.99053,2.0243,0
-1.173,-2.3595,0
-1.7254,-0.50997,0
0.28823,-1.3216,0
-1.5942,-0.63613,0
0.11022,0.31785,0
0.78707,0.13805,0
-0.0022268,-0.71074,0
0.093109,0.777,0
-0.37816,0.62239,0
-1.4827,0.64738,0
-0.043819,-0.42563,0
0.96083,1.0486,0
1.7382,0.66071,0
-0.43021,2.5088,0
-1.6273,1.0635,0
0.16635,1.1569,0
0.37627,0.052979,0
-0.22695,-1.2884,0
-1.1489,-0.37122,0
0.24221,3.9085,1
0.43603,2.1222,1
1.5551,3.047,1
0.44322,1.7731,1
0.10489,1.8375,1
0.59067,2.6901,1
0.83911,2.5558,1
1.4093,0.87974,1
0.047364,0.46731,1
1.3173,0.90213,1
1.078,0.58423,1
2.3244,2.0596,1
0.78683,1.5887,1
0.86552,1.632,1
-0.17136,0.63904,1
-0.38526,2.7796,1
1.3105,2.4394,1
0.75051,1.9104,1
1.5037,3.0212,1
0.10734,1.126,1

